DRE 2025	Janeiro				Fevereiro									11		CHECK	
             Resultado  Institucional	Orçado	Realizado	Variação Mensal	Desvio%	Orçado	Realizado	Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Variação Mensal	YTG			
Investimento amortização	2977.4965161492446	2821.9887606711923	155.50775547805233	0.9477723132051995	2977.4965161492446				37039.42596193234	2977.4965161492446	2821.9887606711923						
Resultado Liquido após impostos	97677.4165672729	-51162.7183603915			100053.7358554952	0			1908444.9535401172	97677.41656727287	-51162.7183603915						
Margem liquida	0.38780115566261614	-0.7045935913909935			0.3972356738816897	0			0.6314127192949301	0.387801155662616	-0.7045935913909935						
Reserva bônus	9767.74165672729	-5116.27183603915			10005.37358554952	0			190844.49535401174	9767.741656727287	-5116.27183603915						
																	
	Janeiro 				Fevereiro												
 Resultado Econômico	Orçado	Realizado	Variação Mensal	Desvio%	Orçado	Realizado	Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Desvio%	YTG			
Receita 	251875.00125000003	120362.57434894999	-131512.42690105003	0.47786629777316963	251875.00125000003	118661.5535	-133213.44775000005	0.47111286515576734	3022500.015	251875.00125000003	120362.57434894999	-131512.42690105003	0.47786629777316963	2902137.4406510503		120362.57434894999	0
																	
Despesas 	Orçado	Realizado	Variação Mensal	Desvio%			Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Desvio%	YTG			
Custo Equipe 	76879.16500000002	76041.035	838.1300000000192	0.9890980865882191	75379.16500000002	80276.745	-4897.579999999973	1.0649725955441396	914114.7525000002	76879.16500000002	76041.035	838.1300000000192	0.9890980865882191	838073.7175000001		76041.035	0
Participação/comissão - Economico		0				1500					0					1500	
Despesas Equipe	3174.8233333333333	1871.805	1303.0183333333332	0.589577687787352	3174.8233333333333		3174.8233333333333	0	5770.108333333334	3174.8233333333333	1871.805	1303.0183333333332	0.589577687787352	3898.3033333333333		1871.805	0
Despesas Institucional	37924.624283677076	36612.15748837833	1312.4667952987438	0.9653927541778276	37119.85365833872		37119.85365833872	0	312546.7721812333	37924.624283677076	36612.15748837833	1312.4667952987438	0.9653927541778276	275934.6146928549		36612.15748837833	0
Resultado Bruto	133896.38863298958	5837.576860571651			136201.15925832794				1790068.3819854334	133896.38863298958	5837.576860571651						
Margem de bruta	0.53159856265406	0.04849993357276989			0.5407490167042844				0.5922476006953579	0.53159856265406	0.04849993357276989						
																	
Impostos 	37781.2501875	18054.386152342497	19726.864035157505	0.47786629777316963	37781.2501875				453375.00225	37781.2501875	18054.386152342497						
Investimento amortização	3086.618830161028	2916.5220644687734	170.09676569225485	0.9448922024222275	3086.618830161028	0			24634.61584427671	3086.618830161028	2916.5220644687734						
Resultado Liquido após impostos	93028.51961532855	-15133.331356239618			95333.29024066692	0			1312058.7638911568	93028.51961532855	-15133.331356239618						
Margem liquida	0.3693439966397957	-0.12573120372422175			0.3784944506900202	0			0.43409719020006576	0.3693439966397957	-0.12573120372422175						
Reserva bônus	9302.851961532855	-1513.3331356239619			9533.329024066692	0			131205.87638911567	9302.851961532855	-1513.3331356239619						
																	
	Janeiro 				Fevereiro												
 Resultado Arbitragem	Orçado	Realizado	Variação Mensal	Desvio%	Orçado	Realizado	Variação Mensal	Desvio%	Orçado YTG	Orçado YTD	Realizado	Variação	Desvio%	YTG			
Receita 	167916.6675	86846.3349481	-81070.3325519	0.5171990144939007	167916.6675	61972.318	-105944.34950000001	0.36906591181605003	2015000.01	167916.6675	86846.3349481	-81070.3325519	0.5171990144939007	1928153.6750519			
																	
