set	status	total_count	n_rows_returned
ImportacaoPublicacaoItemViews	200	0	0
TimeZoneViews	200	None	141
CultureViews	200	None	248
ImportacaoPublicacaoLayoutViews	200	2	1
DisplayCampoModeloTelaViews	200	None	0
ImportacaoPublicacaoViews	200	0	0
JurFavoritoClienteViews	200	0	0
JurFavoritoCasoViews	200	0	0
LacunaViews	200	0	0
LocalizacaoCnjViews	200	2943	1
LocalTrabalhoViews	200	0	0
LogImportacaoAndamentoViews	200	0	0
LocalidadeViews	200	0	0
MaterialViews	200	0	0
MeioPagamentoViews	200	10	1
LogCorteHorasTimesheetViews	200	0	0
MenuViews	200	232	1
MoedaViews	200	3	1
MenuPerfilViews	200	560	1
MotivoReprovacaoViews	200	3	1
MotivoWoViews	200	0	0
MotivoEscolhaViews	200	4	1
MotivoEncerramentoViews	200	3	1
ObjetoViews	200	61	1
ParticularidadeDespesaViews	200	0	0
PCOClienteFavoritoViews	200	0	0
ParticularidadeDespesaDetalheViews	200	0	0
MovimentacaoFinanceiraGridViews	200	0	0
PastaFisicaMovimentacaoViews	200	0	0
NotificacaoGridViews	200	0	0
TributarioPedidoViews	200	0	0
PCOFavoritoViews	200	0	0
PastaFisicaDocumentoViews	200	0	0
MovimentacaoFinanceiraViews	200	0	0
PedidoViews	200	0	0
PedidoAbaViews	200	0	0
PedidoTotalAbaViews	200	0	0
PedidoGridViews	200	0	0
PastaFisicaViews	200	0	0
TributoTotalAbaViews	200	0	0
TributoAbaViews	200	0	0
MovimentacaoFinanceiraAbaViews	200	3	1
PeticionamentoEletronicoLoteViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
ResponsavelProfissionalViews	200	None	0
PedidoValorParcelaViews	200	0	0
PedidoTotalViews	200	0	0
PeticionamentoEletronicoViews	200	0	0
PedidoValorViews	200	0	0
TributarioPedidoValorViews	200	0	0
RestricaoAssuntoViews	200	0	0
PlanoContasViews	200	278	1
PlanejamentoOrcamentoViews	200	0	0
PlanejamentoOrcamentoTotalViews	200	0	0
PosicaoFinanceiraAdiantamentoViews	200	82	1
PosicaoFinanceiraDespesaIncorridaViews	200	716	1
PosicaoFinanceiraPendenciaViews	200	0	0
PosicaoFinanceiraCasoViews	200	542	1
PreFaturaViews	200	5594	1
PreFaturaAcaoViews	200	20313	1
PosicaoFinanceiraViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PosicaoFinanceiraCobrancaViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PosicaoFinanceiraFaturaViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PosicaoFinanceiraResumoDespesaViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PosicaoFinanceiraResumoProfissionalViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PosicaoFinanceiraResultadoFaturamentoViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PosicaoFinanceiraResultadoRecebimentoViews	ERR	HTTPSConnectionPool(host='legaldesk.mbclaw.com.br', port=443): Read timed out. (read timeout=60)	0
PreFaturaDespesaViews	200	633	1
PreFaturaTabeladoViews	200	0	0
PreFaturaProfissionalViews	200	5557	1
PreFaturaInstrucaoViews	200	16	1
PreFaturaTimesheetViews	400	{
  "result": {
    "error": true,
    "type": "general",
    "message": "O argumento 'rawValue' é nulo ou vazio.\r\	0
PreFaturaPagadorViews	200	4160	1
PreferenciaIndividualViews	200	119	1
PreFaturaCasoViews	200	6272	1
PreFaturaLogViews	200	2979	1
PreliminarViews	200	0	0
PreferenciaViews	200	411	1
PreFaturaRevisorViews	200	69	1
PreferenciaTelaViews	200	4	1
PreferenciaPerfilViews	200	1	1
ProfissionalCarrosselAgendaViews	200	0	0
PrestacaoContaViews	200	0	0
ProfissaoViews	200	0	0
PrestacaoContaItemAprovacaoViews	200	0	0
ProfissionalViews	200	69	1
PrestacaoContaAprovadorViews	200	0	0
PrognosticoViews	200	3	1
ProjetoViews	200	0	0
ProjetoGerenciaResponsavelViews	200	0	0
ProjecaoViews	200	0	0
PrestacaoContaItemViews	200	0	0
RamoAtividadeViews	200	0	0
ProjetoItemViews	200	0	0
RestricaoViews	200	0	0
RestricaoPerfilViews	200	0	0
RateioFaturaProfissionalCustomViews	404	{"Message":"Não foram encontrados recursos HTTP que correspondam ao URI de solicitação 'https://legaldesk.mbclaw.com.br/	0
RateioViews	200	4191	1
ProjetoGerenciaResponsavelResumoViews	200	0	0
ProjetoGerenciaProjecaoViews	200	0	0
ProjetoResumoViews	200	0	0
PendenciasDiariaViews	200	5	1
RelatorioParamViews	200	412	1
RelatorioViews	200	114	1
RequisicaoAprovadorViews	200	0	0
PerfilRuleViews	200	1	1
RequisicaoMaterialAprovacaoViews	200	0	0
RelatorioPerfilViews	200	0	0
