name	method	return_type	entity_set	n_params	params
InsertFilteredIntoQueueWithParams	GET			9	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), isDirect:Edm.Boolean, reportId:Edm.String, reportName:Edm.String, reportData:Edm.String, reportModelId:Edm.String, reportType:Edm.String, isRelatorio:Edm.Boolean, extensao:Edm.String
InsertFilaAll	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), tipoVinculo:Edm.String, ordenacao:Edm.String
InsertFilaSelected	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), tipoVinculo:Edm.String, ordenacao:Edm.String, idsAssunto:Edm.String
EncerramentoEmLote	GET			6	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), data:Edm.DateTimeOffset, motivo:Edm.String, detalhamento:Edm.String, encerrarDesdobramento:Edm.String, encerrarDesdobramentoVinculado:Edm.String
EncerramentoEmLoteReport	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView)
PeticionamentoEletronicoLote	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), importarDesdobramento:Edm.String
AlteraContrato	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), casoId:Edm.String, contratoId:Edm.String, integracaoProtheus:Edm.String, assuntoId:Edm.String
AlterarResponsavelLote	GET			8	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), tipoEntidade:Edm.String, tipoOperacao:Edm.String, profissionais:Edm.String, profissionalExclusaoId:Edm.String, profissionalInclusaoId:Edm.String, tipoResponsabilidadeInclusaoId:Edm.String, tipoResponsabilidadeExclusaoId:Edm.String
AlterarRespLoteReport	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), alteracaoId:Edm.String
ImportaProcessoLData	GET			8	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), numProcessoCNJ:Edm.String, acompanharRecorrente:Edm.String, clienteId:Edm.String, casoId:Edm.String, contratoId:Edm.String, tipoAssuntoId:Edm.String, perfilId:Edm.String
ScheduleReport	GET			18	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), assuntoEmail:Edm.String, diaAgendamento:Edm.String, diaSemana:Edm.String, diaPrimeiraQuinzena:Edm.String, diaSegundaQuinzena:Edm.String, nomeAgendamento:Edm.String, reportId:Edm.String, reportName:Edm.String, reportType:Edm.String, reportModel:Edm.String, reportData:Edm.String, extension:Edm.String, descricao:Edm.String, destinatario:Edm.String, copia:Edm.String, periodicidade:Edm.String, reportFiltersRightBar:Edm.String
ScheduleExportation	GET			18	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), exportModelId:Edm.String, assuntoEmail:Edm.String, diaAgendamento:Edm.String, diaSemana:Edm.String, diaPrimeiraQuinzena:Edm.String, diaSegundaQuinzena:Edm.String, nomeAgendamento:Edm.String, modeloTelaId:Edm.String, profileId:Edm.String, exportName:Edm.String, exportType:Edm.String, extension:Edm.String, descricao:Edm.String, destinatario:Edm.String, copia:Edm.String, periodicidade:Edm.String, reportFiltersRightBar:Edm.String
SingleScheduleRun	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoGridView), singularAgendadorId:Edm.String
AtualizaValores	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAssuntoView), assuntoId:Edm.String, dataCorte:Edm.DateTimeOffset
GetMenuItems	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAbaView), viewModelBase:Edm.String, context:Edm.String
GetTabsConfig	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAbaView), modeloTela:Edm.String
SaveTabsConfig	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAbaView), listTabsConfig:Edm.String, byProfile:Edm.Boolean, modeloTela:Edm.String
RestoreTabsConfig	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAbaView), byProfile:Edm.Boolean, modeloTela:Edm.String
GetAtoRegraManual	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAtoView), idAtoRegra:Edm.String, idAndamento:Edm.String
ContainsAtoRegraManual	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAtoView), idAto:Edm.String, idAndamento:Edm.String
ContainsAtoRegraAutomatico	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAtoView), idAto:Edm.String
PreValidationNewSolicitation	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), profissionalId:Edm.String
IsRhProfessional	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), profissionalId:Edm.String
IsManagerOrRhProfessional	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), profissionalId:Edm.String
PositionProfessionalLogged	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), profissionalId:Edm.String
HaveLastSolicitation	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), profissionalId:Edm.String
GetLastSolicitation	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), profissionalId:Edm.String
GetProfsInVacation	GET			6	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), profId:Edm.String, isManagerProfessional:Edm.Boolean, isRhProfessional:Edm.Boolean, periodoInicial:Edm.String, periodoFinal:Edm.String
AprovacaoGestor	GET			7	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), agendamentoDeFeriasId:Edm.String, profissionalSolicitanteId:Edm.String, profissionalResponsavelId:Edm.String, aprovacaoGestor:Edm.String, motivoGestor:Edm.String, dataAprovacaoGestor:Edm.DateTimeOffset
AprovacaoRh	GET			7	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultAgendamentoDeFeriasView), agendamentoDeFeriasId:Edm.String, profissionalSolicitanteId:Edm.String, profissionalRhId:Edm.String, aprovacaoRh:Edm.String, motivoRh:Edm.String, dataAprovacaoRh:Edm.DateTimeOffset
RegisterInfoSession	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultRegistroAcaoView), registers:Edm.String
RegisterInfoSession	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultUsuarioAtividadeView), registers:Edm.String
RecalcularPeriodos	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultPeriodoModuloView), modulo:Edm.String, anoMes:Edm.String
GetProfiles	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.CadastroPerfilView), entityType:Edm.String, entityId:Edm.String
GetProfilesTipoAssunto	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.CadastroPerfilView), entityType:Edm.String, entityId:Edm.String
EncerrarEmLote	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultClienteEmLoteView), selected:Edm.String
ReabrirEmLote	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultClienteEmLoteView), selected:Edm.String
QueryEmLote	GET			1	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultClienteEmLoteView)
OriginacaoObrigatoria	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultClienteParticipacaoView), participacoes:Edm.String
SomaOriginacao	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultClienteParticipacaoView), originacoes:Edm.String
BuildAssuntoResumo	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultConfiguracaoAssuntoView), assuntoId:Edm.String
BuildDesdobramentoCampos	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultConfiguracaoDesdobramentoView), desdobramentoId:Edm.String
Aprovar	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCotacaoView), ids:Edm.String, motivo:Edm.String
Reprovar	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCotacaoView), ids:Edm.String, motivo:Edm.String
Aprovar	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCotacaoFornecedorAprovacaoView), ids:Edm.String, motivo:Edm.String, motivoId:Edm.String, visao:Edm.String
Reprovar	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCotacaoFornecedorAprovacaoView), ids:Edm.String, motivo:Edm.String, visao:Edm.String
RetornaHistorico	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultCotacaoFornecedorAprovacaoView), ids:Edm.String
AddProfissionalLancamento	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCustoView), dataInicial:Edm.String, dataFinal:Edm.String, ids:Edm.String, businessPlanId:Edm.String
DeleteCustos	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCustoView), businessPlanId:Edm.String
RetornaCusto	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCustoView), businessPlanId:Edm.String, IdTipo:Edm.String, ProfissionalNovo:Edm.String, anoMes:Edm.String
Replicar	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCustoView), businessPlanId:Edm.String, profissionalId:Edm.String, planoContasId:Edm.String, valor:Edm.String
AddProfissionalLancamento	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanConsolidadoProfissionalView), dataInicial:Edm.String, dataFinal:Edm.String, ids:Edm.String, businessPlanId:Edm.String
DeleteCustos	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanConsolidadoProfissionalView), businessPlanId:Edm.String
RetornaCusto	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanConsolidadoProfissionalView), businessPlanId:Edm.String, IdTipo:Edm.String, ProfissionalNovo:Edm.String
Percentual	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanConsolidadoProfissionalView), businessPlanId:Edm.String, percentual:Edm.Decimal, anoMes:Edm.String
AddProfissionalLancamento	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCategoriaView), dataInicial:Edm.String, dataFinal:Edm.String, ids:Edm.String, businessPlanId:Edm.String
DeleteCustos	GET			2	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCategoriaView), businessPlanId:Edm.String
RetornaCusto	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCategoriaView), businessPlanId:Edm.String, anoMes:Edm.String, IdTipo:Edm.String
Percentual	GET			4	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCategoriaView), businessPlanId:Edm.String, percentual:Edm.Decimal, anoMes:Edm.String
AddLote	GET			5	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultBusinessPlanCategoriaView), multiSelectConta:Edm.String, percentual:Edm.String, anoMes:Edm.String, bpId:Edm.String
Devolver	GET			3	bindingParameter:Collection(Juritis.LegalDesk.ViewModel.Cadastro.DefaultDevolucaoRemanejamentoProjetoView), projetoOrigemData:Edm.String, projetosDestinoData:Edm.String
